Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Jyoti Puthran,"MBBS, DNB - General Medicine",,,Kammana Halli,Bangalore,₹500,19,"General Physician, Internal Medicine"
Dr. Nikhita Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Koramangala 7 Block,Bangalore,₹600,10,"Dermatologist, Aesthetic Dermatologist, Trichologist, Hair Transplant Surgeon, Cosmetologist"
Dr. Salim A Khatib,"MBBS, DNB - Paediatrics, Diploma in Child Health (DCH)",95%,(20 patients),Hebbal,Bangalore,₹1000,42,Pediatrician
Dr. Prathik R,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MNAMS - Urology",98%,(62 patients),Seshadripuram,Bangalore,₹700,10,Urologist
Dr. Kiran Kumar,"MBBS, MD - Radiotherapy, DM - Medical Oncology",,,Electronics City,Bangalore,₹750,10,"Medical Oncologist, Hematologic Oncologist"
Dr. Abhishek B,"BDS, MDS - Oral Pathology and Oral Microbiology, Fellowship in Oral implantlogy",100%,(169 patients),Rajajinagar,Bangalore,₹200,16,"Dentist, Oral Pathologist"
Dr. Prathap Kumar Pani,"MBBS, MS - General Surgery, MCh - Neuro Surgery",65%,(20 patients),HSR Layout,Bangalore,₹1000,41,Neurosurgeon
Dr. Pradeep T,MBBS,,,Electronics City,Bangalore,₹300,n6,General Physician
Dr. Manju Deepthi B,"MBBS, MS - Obstetrics & Gynaecology",98%,(48 patients),HRBR Layout,Bangalore,₹850,11,"Obstetrician, Gynecologist"
Dr. Chaitanya NT,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology, Venereology & Leprosy",,,Ashoknagar,Bangalore,₹800,t7,"Dermatologist, Aesthetic Dermatologist"
Dr. Garima Aggarwal,"MBBS, MD - General Medicine, DM - Nephrology",99%,(102 patients),Whitefield,Bangalore,₹850,13,Nephrologist/Renal Specialist
Dr. Saranya,"BAMS, Master of Hospital Administration",,,Jayanagar 5 Block,Bangalore,₹300,14,AYUSHAyurveda
Dr. Vinay Kumar V,"MBBS, MS - ENT",,,Ashoknagar,Bangalore,₹800,10,ENT/ Otorhinolaryngologist
Dr. Sathya Vamsi Krishna,"MS - Orthopaedics, MBBS",,,Jayanagar 9 Block,Bangalore,₹650,13,Orthopedic surgeon
Dr. Kavitha Lakshmi Easwaran,"MBBS, MD - Obstetrics & Gynaecology",95%,(627 patients),Kasturi nagar,Bangalore,₹700,26,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Rajeev Ghat,"MBBS, MS - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",98%,(246 patients),Bellandur,Bangalore,₹700,27,Orthopedic surgeon
Dr. Vidya T.S,"MBBS, MD - Dermatology",96%,(1001 patients),Jayanagar,Bangalore,₹700,28,"Dermatologist, Aesthetic Dermatologist"
Dr. Priyanka R Kuri,"MBBS, MD - Dermatology , Venereology & Leprosy",100%,(24 patients),Whitefield,Bangalore,₹700,t9,"Dermatologist, Trichologist"
Dr. Najma Ubaid,BDS,,,Bellandur,Bangalore,₹400,12,Dentist
Dr. Priya B,"MBBS, MD - Radio Diagnosis/Radiology",,,Indiranagar,Bangalore,,t6,Radiologist
Dr. Ganesh Veerabhadraiah,"MBBS, DNB - Neurosurgery, Fellowship in Interventional Neurosurgery (FINR)",,,Jayanagar,Bangalore,₹1000,22,"Neurosurgeon, Neurointerventional Surgery, Spine Surgeon (Neuro)"
Dr. Sanjiv C C,"MBBS, DM - Neurology",77%,(167 patients),Basavanagudi,Bangalore,₹800,33,Neurologist
Dr. Vijay Bhaskar (Ex. Major),"MBBS, MS - ENT",53%,(17 patients),Jayanagar,Bangalore,₹750,29,ENT/ Otorhinolaryngologist
Dr. Meghana M   (Physiotherapist),BPTh/BPT,,,Jayanagar 7 Block,Bangalore,₹500,t1,TherapistPhysiotherapist
Dr. Mukunda Ramachandra,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",93%,(15 patients),Bannerghatta Road,Bangalore,₹1150,22,Pediatric Surgeon
Dr. Swapnil Chincholikar,"MDS - Prosthodontist And Crown Bridge, BDS",100%,(65 patients),Hennur,Bangalore,₹300,11,"Prosthodontist, Implantologist"
Dr. Ramya Srinath,"MBBS, MD - Pediatrics",,,Koramangala,Bangalore,₹1000,n8,Pediatrician
Dr. Giridhar Venkatesh,"MBBS, MS - General Surgery, MCh - Urology",100%,(33 patients),Electronics City,Bangalore,₹900,15,Urologist
Dr. Deepanju D Changkakoti,"MBBS, MD - General Medicine",84%,(50 patients),Millers Road,Bangalore,₹1000,31,"Internal Medicine, General Physician"
Dr. Sandhya Ramanujam,BDS,90%,(187 patients),Bannerghatta Road,Bangalore,₹500,29,Dentist
Dr. Rachana Gopalakrishna,"MBBS, Diploma in Child Health (DCH)",,,Whitefield,Bangalore,₹1100,11,Pediatrician
Dr. Sreelakshmi C Reddy,"BAMS, PhD- Ayurveda",99%,(82 patients),Whitefield,Bangalore,₹600,18,AYUSHAyurveda
Dr. Dimpu Edwin,"MBBS, MD - General Medicine, DM - Cardiology",,,JP Nagar,Bangalore,₹900,12,Interventional Cardiologist
Dr. Harini Krishnan,"BDS, MDS - Paedodontics And Preventive Dentistry",,,Kanakpura Road,Bangalore,₹300,t7,Pediatric Dentist
Dr. Abhisheak R Naik,"BDS, MDS - Oral Medicine and Radiology",100%,(373 patients),Harlur,Bangalore,₹200,12,"Cosmetic/Aesthetic Dentist, Dental Surgeon"
Dr. B. Ravi Mohan Rao,"MCh - Neuro Surgery, MBBS",,,Seshadripuram,Bangalore,₹1000,37,Neurosurgeon
Dr. Sriram Nathan,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",94%,(125 patients),Whitefield,Bangalore,₹800,21,ENT/ Otorhinolaryngologist
Dr. Manjula Patil,"MBBS, MS - Obstetrics & Gynaecology",,,Rajarajeshwarinagar,Bangalore,₹650,25,Gynecologist
Dr. Mohan M.R,"MBBS, MS - Orthopaedics",95%,(153 patients),Hulimavu,Bangalore,₹500,21,Orthopedic surgeon
Dr. Akhila Joshi,"BNYS, MSc - Clinical Nutrition and Dietetics",96%,(510 patients),Kaggadasapura,Bangalore,₹500,14,"AYUSHYoga and Naturopathy, Clinical Nutritionist, Dietitian/Nutritionist, Sports Nutritionist, Acupuncturist"
Dr. Chinmayie R,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",,,Jayanagar,Bangalore,₹600,14,"Obstetrician, Infertility Specialist, Gynecologist"
Dr. Chetan Nelvigi,"MBBS, MS - Obstetrics & Gynaecology",88%,(24 patients),Bannerghatta Road,Bangalore,₹900,31,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Hari Krishna,"MBBS, MD - Anaesthesiology",,,Electronics City,Bangalore,₹250,n4,"Anesthesiologist, General Physician"
Dr. Nandhini Ravindran,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",97%,(63 patients),Ulsoor,Bangalore,₹600,17,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Neetha P.R,BAMS,97%,(34 patients),Jakkur,Bangalore,₹300,21,"AYUSHAyurveda, Alternative Medicine"
Dr. Sharan Shivraj Patil,"MBBS, Diploma in Orthopaedics, MS - Orthopaedics, M.Ch - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",87%,(152 patients),Vasanthnagar,Bangalore,₹1000,33,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Kunal K Mehra,"MBBS, MS - General Surgery, MCh - Urology",,,Kundalahalli,Bangalore,₹850,13,Urologist
Dr. Shobha Rani,"DGO, MBBS, MD - Obstetrics & Gynaecology",83%,(52 patients),Malleswaram,Bangalore,₹700,48,"Obstetrician, Gynecologist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Nikhil C Hiremath,"MBBS, MD - General Medicine, DM - Neurology",93%,(70 patients),Yeshwanthpur,Bangalore,₹850,14,Neurologist
Dr. Jayakrishnan Pillai,"MBBS, DNB - Orthopedics/Orthopedic Surgery",97%,(1680 patients),Koramangala 5 Block,Bangalore,₹800,21,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Arka Chatterjee,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",,,Nagasandra,Bangalore,₹750,n9,Pediatric Surgeon
Dr. Shivakumar Y S,"MBBS, MS - Orthopaedics",,,Whitefield,Bangalore,₹850,27,Orthopedic surgeon
Dr. Raghuram G,"MBBS, DNB - Neurosurgery",,,KR Puram,Bangalore,₹1200,16,Neurosurgeon
Dr. Vinayak M,"MBBS, MD - Pediatrics, DM - Medical Oncology",,,Horamavu,Bangalore,₹700,13,"Medical Oncologist, General Physician"
Dr. Saud Ahmed,"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - Otorhinolaryngology",97%,(72 patients),Millers Road,Bangalore,₹1000,15,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon"
Dr. Anupama S Kakade,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)",92%,(25 patients),Indiranagar,Bangalore,₹700,19,General Physician
Dr. Sahana Deshpande,"MBBS, DNB - Obstetrics & Gynecology",,,Kanakpura Road,Bangalore,₹700,18,Gynecologist
Dr. Shankar D Desai,"MBBS, MD - Skin,VD & Leprosy",65%,(20 patients),Yeshwanthpur,Bangalore,₹850,38,Dermatologist
Dr. Prasanna K S,"MBBS, MD - General Medicine, DM - Gastroenterology",82%,(44 patients),Bannerghatta Road,Bangalore,₹1000,17,Gastroenterologist
Dr. Shrishailesh. D.M,"MBBS, MD - Pediatrics",97%,(112 patients),Koramangala 6 Block,Bangalore,₹700,15,Pediatrician
Dr. Sushal Shanthakumar,"MBBS, MS - Orthopaedics",98%,(142 patients),Old Airport Road,Bangalore,₹900,19,Orthopedic surgeon
Dr. Shiraz Ahmed,"MBBS, MS - General Surgery",,,Indiranagar,Bangalore,₹500,14,General Surgeon
Dr. Mohan Raj,"MBBS, MD - Ophthalmology",,,Bannerghatta Road,Bangalore,₹500,16,Ophthalmologist/ Eye Surgeon
Dr. Mahesh Chandra Pai,"MBBS, DNB - General Medicine",97%,(176 patients),Yeshwanthpur,Bangalore,₹600,24,"Internal Medicine, General Physician"
Dr. J Mazumder   (Physiotherapist),BPTh/BPT,,,Jayanagar,Bangalore,₹400,15,TherapistPhysiotherapist
Dr. Bhimasena Rao,"MBBS, DNB - Respiratory Diseases",100%,(25 patients),Millers Road,Bangalore,₹1000,28,Pulmonologist
Dr. Shubha L,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",,,Electronics City,Bangalore,₹600,t5,Infertility Specialist
Dr. Veekshith Shetty,"MBBS, DNB - Neurosurgery",,,Millers Road,Bangalore,₹1000,n7,Neurosurgeon
Dr. Ujwala,"MBBS, MS - Obstetrics & Gynaecology",,,Jayanagar 8 Block,Bangalore,₹500,t7,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Roby Bose,"MBBS, Masters in Clinical Dermatology",,,Ashoknagar,Bangalore,₹1000,17,Hair Transplant Surgeon
Dr. Srimani,BDS,96%,(95 patients),JP Nagar 1 Phase,Bangalore,₹200,24,"Dentist, Dental Surgeon"
Dr. Nataraj H M,"MBBS, MS - Orthopaedics",98%,(100 patients),Sarjapur Road,Bangalore,₹500,17,Orthopedic surgeon
Dr. Sudhakar P,"MBBS, MD - General Medicine, DNB - Cardiology, DM - Cardiology",,,Horamavu,Bangalore,₹700,14,Cardiologist
Dr. Mayur Nair,"Doctor of Medicine, MS - ENT",90%,(48 patients),Sarjapur Road,Bangalore,₹700,10,ENT/ Otorhinolaryngologist
Dr. Deepak A,"MBBS, Diploma in Orthopaedics",,,Sarjapur Road,Bangalore,₹650,n6,Orthopedic surgeon
Dr. Arvind Kidambi Seshadri,"MBBS, MS - General Surgery, MCh - Hepato Pancreato Biliary Surgery",,,Old Airport Road,Bangalore,₹1100,20,Hepato-Biliary-Pancreatic
Dr. Tejasvi Kumar C,"MBBS, MS - General Surgery",,,Hebbal,Bangalore,₹700,n7,"Laparoscopic Surgeon, Proctologist, Diabetic Foot Surgeon, General Surgeon"
Dr. Sadashiv.S.Gore,BAMS,,,Sanjay Nagar,Bangalore,₹1000,34,"AYUSHAyurveda, Sexologist"
Dr. Thirumalesh K Reddy,"MBBS, MS - Orthopaedics",87%,(31 patients),Hebbal,Bangalore,₹1000,28,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Mahesh Babu,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",100%,(18 patients),Banashankari,Bangalore,₹800,14,"Urologist, Andrologist, Urological Surgeon"
Dr. B V Shashidhar,BDS,100%,(11 patients),West Of Chord Road,Bangalore,₹300,16,Dentist
Dr. Shazia Amreen,"BAMS, MD - Ayurvedic Pathology & Diagnostic Procedure",,,Banashankari,Bangalore,₹400,a6,AYUSHAyurveda
Dr. Fayaz Pasha,"BDS, MDS - Prosthodontist And Crown Bridge, Fellowship in Oral implantlogy",97%,(70 patients),BTM Layout 2nd Stage,Bangalore,₹300,22,"Prosthodontist, Implantologist, Cosmetic/Aesthetic Dentist"
Dr. Smitha R,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",,,VV Puram,Bangalore,₹600,26,"Gynecologist, Obstetrician"
Dr. Anupama Ashok,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",98%,(602 patients),Sahakaranagar,Bangalore,₹850,27,"Infertility Specialist, Gynecologist"
Dr. Nanda Kumar Bhairi,"DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics, MBBS",99%,(540 patients),Rajarajeshwarinagar,Bangalore,₹500,19,"Orthopedic surgeon, Spine Surgeon (Ortho), Joint Replacement Surgeon, Spine And Pain Specialist"
Ms. Vidyashree C N,MSc - Psychology,,,Yelahanka,Bangalore,₹1000,t7,TherapistCounselling Psychologist
Dr. Anantharaman.R,"MD - General Medicine, DM - Endocrinology, MBBS",92%,(1734 patients),Sampangiramnagar,Bangalore,₹800,15,Endocrinologist
Ms. Sonal Sureka,"M.Sc- Dietetics and Applied Nutrition, BSc. - Home Science (Food Science and Nutrition)",98%,(47 patients),Ashoknagar,Bangalore,₹1500,t8,TherapistDietitian/Nutritionist
Dr. Roma Haider,BDS,98%,(48 patients),Koramangala 5 Block,Bangalore,₹600,25,Dental Surgeon
Dr. Juvita Rasquinha,"MBBS, DDVL",91%,(769 patients),Indiranagar,Bangalore,₹500,18,"Dermatologist, Cosmetologist, Pediatric Dermatologist, Trichologist"
Dr. Shashikala S,"MBBS, DGO",94%,(16 patients),Malleswaram,Bangalore,₹850,36,"Obstetrician, Gynecologist"
Dr. Ritu Choudhary,"MBBS, MS - Obstetrics & Gynaecology",97%,(168 patients),Electronics City,Bangalore,₹650,15,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Obstetrician"
Dr. Mohan Badagandi,MBBS,91%,(121 patients),Old Airport Road,Bangalore,₹1100,48,General Physician
Dr. Deepthi Panem   (Physiotherapist),BPTh/BPT,,,Whitefield,Bangalore,₹300,t7,TherapistPhysiotherapist
Dr. Vasunethra Kasargod,"MBBS, MD - Pulmonary Medicine",99%,(740 patients),Kalyan Nagar,Bangalore,₹750,13,Pulmonologist
Dr. Shruti Manjunath,"MBBS, MS - ENT",99%,(148 patients),Indiranagar,Bangalore,₹700,13,ENT/ Otorhinolaryngologist
Dr. Amulya S,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Horamavu,Bangalore,₹500,t7,Dermatologist
Dr. Ashwini G B,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",96%,(2702 patients),HSR Layout,Bangalore,₹800,21,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Paramita Nandi,BHMS,,,Jayanagar 4 Block,Bangalore,₹450,h8,AYUSHHomoeopath
Dr. Amarkishen Shetty,"MBBS, DM - Gastroenterology",89%,(128 patients),Jayanagar 9 Block,Bangalore,₹900,34,Gastroenterologist
Dr. Swati Kedia,"BDS, MDS - Pedodontics",99%,(298 patients),BTM Layout,Bangalore,₹500,14,"Dentist, Pediatric Dentist"
Dr. Vidyamani Boriah,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",93%,(27 patients),VV Puram,Bangalore,₹600,53,"Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist"
Dr. Prerna Sah,MBBS,,,Whitefield,Bangalore,₹200,t1,TherapistSexologist
Dr. Venkatesh Babu S,"MBBS, MS - Ophthalmology",,,Banashankari,Bangalore,₹400,22,Ophthalmologist/ Eye Surgeon
Dr. Vinay Ashok Kumar,BDS,100%,(13 patients),Jayanagar,Bangalore,₹300,t5,"Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Gurubasava,"MBBS, MD - General Medicine, DM - Gastroenterology",100%,(25 patients),Nagasandra,Bangalore,₹750,11,Gastroenterologist
Dr. Yogesh T,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",,,Mahadevapura,Bangalore,₹1000,n8,Cardiothoracic Surgeon
Dr. Amit Kumar,"BDS, MDS - Oral & Maxillofacial Surgery",98%,(130 patients),Mahadevapura,Bangalore,₹350,22,"Dentist, Oral And MaxilloFacial Surgeon, Dental Surgeon, Implantologist"
Dr. Tej Murthy,"MBBS, MS - ENT",,,Rajajinagar,Bangalore,₹600,11,ENT/ Otorhinolaryngologist
Dr. Kamal Kumar M,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery",,,Jayanagar 9 Block,Bangalore,₹750,23,Plastic Reconstruction Surgeon
Dr. Anju Antony,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",,,Marathahalli,Bangalore,₹350,10,Dentist
Dr. Chethana R,"BDS, MDS - Oral & Maxillofacial Surgery",,,Indiranagar,Bangalore,₹800,n9,Hair Transplant Surgeon
Dr. Mriduladevi A,"MBBS, MS - Obstetrics & Gynaecology",97%,(100 patients),JP Nagar 1 Phase,Bangalore,₹600,t9,"Obstetrician, Gynecologist"
Dr. Anjana Ramesh,"DNB - Obstetrics & Gynecology, MBBS, MD - Obstetrics & Gynaecology",85%,(40 patients),HAL 3rd Stage,Bangalore,₹600,35,"Obstetrician, Gynecologist"
Dr. Richa,"DPM (Psychiatry), MBBS",,,Indiranagar,Bangalore,₹499,t6,TherapistSexologist
Dr. Vikram Kolhari,"MBBS, MD - General Medicine, DM - Cardiology",,,Seshadripuram,Bangalore,₹950,19,Cardiologist
Dr. Sachith Abraham,"MD - Skin & VD, MBBS",95%,(1385 patients),Old Airport Road,Bangalore,₹1100,30,"Dermatologist, Cosmetologist"
Dr. Ninan Thomas Panicker,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",81%,(53 patients),Indiranagar,Bangalore,₹800,39,Urologist
Dr. Divyashree R,"MBBS, MD - Dermatology , Venereology & Leprosy",,,JP Nagar 7 Phase,Bangalore,₹500,t7,Dermatologist
Dr. Vipin Jain K,"BDS, MDS - Public Health Dentistry",97%,(39 patients),Rajajinagar,Bangalore,₹300,16,"Public Health Dentist, Dental Surgeon"
Dr. Anita Krishnan,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",98%,(3529 patients),Koramangala,Bangalore,₹2000,31,ENT/ Otorhinolaryngologist
Dr. Nikhil Nagaraj Kalale,"MBBS, DNB - Paediatrics",,,JP Nagar,Bangalore,₹900,n9,Pediatrician
Dr. Shashi Kumar H.K,"MBBS, MS - Orthopaedics",,,Bannerghatta Road,Bangalore,₹850,14,Orthopedic surgeon
Dr. Arathi.S.M,"MBBS, DGO",100%,(12 patients),Jayanagar 5 Block,Bangalore,₹600,27,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
Dr. Bharathi Rajanna,"MBBS, MD - Obstetrics & Gynaecology",90%,(102 patients),Rajajinagar,Bangalore,₹500,35,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Mounica Reddy,"MD - Pediatrics, MBBS",,,Bannerghatta Road,Bangalore,₹1150,10,Pediatrician
Dr. Divya Shree J,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",,,Jayanagar 9 Block,Bangalore,₹750,t6,Pulmonologist
Dr. Sindhu Paul Kavalakkat,"MBBS, MD - Radiotherapy, DNB - Radiotherapy",,,Old Airport Road,Bangalore,₹1100,20,Radiation Oncologist
Dr. Joshna Naidu B M,"MBBS, MS - ENT",,,Jayanagar,Bangalore,₹700,10,ENT/ Otorhinolaryngologist
Dr. Sonal Saumya,"Diploma In Prosthodontics, Crown Bridge And Oral Implantology, BDS",99%,(215 patients),Whitefield,Bangalore,₹350,12,"Prosthodontist, Dentist, Implantologist"
Dr. Ravi Raj GA,"BDS, MDS - Paedodontics And Preventive Dentistry",100%,(24 patients),Sampangiramnagar,Bangalore,₹800,16,"Dentist, Pediatric Dentist"
Dr. N Chandrashekar,"MCh - Neuro Surgery, MBBS",97%,(235 patients),HSR Layout,Bangalore,₹750,37,"Neurosurgeon, Spine Surgeon (Neuro)"
Dr. Aparna Shintre,"MBBS, MD - Obstetrics & Gynaecology, DGO",98%,(158 patients),Malleswaram,Bangalore,₹850,26,"Obstetrician, Gynecologist"
Dr. Suvarna Jyothi G,"MBBS, DNB - Obstetrics & Gynecology",100%,(174 patients),Indiranagar,Bangalore,₹700,14,"Obstetrician, Gynecologist"
Dr. Saikrrupa S P,"BDS, MDS - Oral & Maxillofacial Surgery",,,Malleswaram,Bangalore,₹500,n8,"Oral And MaxilloFacial Surgeon, Cosmetic/Aesthetic Dentist, Hair Transplant Surgeon"
Dr. Rakesh Sharma C,"BDS, MDS - Oral Medicine and Radiology",,,Mahalakshmi Layout,Bangalore,₹200,15,Oral Medicine and Radiology
Dr. Amarnath K A,"MBBS, MD - General Medicine",,,Hebbal,Bangalore,₹800,19,General Physician
Dr. Nafia M,BHMS,,,Varthur,Bangalore,₹500,h2,AYUSHHomoeopath
Dr. Deepak Pathak,BDS,,,Sarjapur Road,Bangalore,₹500,t5,Dentist
Mr. Balakrishna Reddy,Master of Acupuncture Therapy,91%,(11 patients),Marathahalli,Bangalore,₹650,t6,TherapistAcupuncturist
Dr. A Rahim Khan,"BDS, MDS - Orthodontics",98%,(374 patients),Indiranagar,Bangalore,₹500,20,"Dentofacial Orthopedist, Orthodontist"
Dr. Subodh  Kumar Mahato   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",100%,(43 patients),Dasarahalli,Bangalore,₹500,10,TherapistPhysiotherapist
Dr. Janardhanan K C,MBBS,,,Indiranagar,Bangalore,₹1000,41,General Physician
Dr. Savitha G,"MBBS, DGO, DNB - Obstetrics & Gynecology",100%,(26 patients),Rajajinagar,Bangalore,₹450,19,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Abhishek Shetty,"BDS, MDS - Conservative Dentistry & Endodontics",98%,(135 patients),HSR Layout,Bangalore,₹300,13,"Dentist, Endodontist"
Dr. Suman Sharma   (Physiotherapist),BPTh/BPT,,,JP Nagar 7 Phase,Bangalore,₹500,11,TherapistPhysiotherapist
Dr. Anupam Jaiswal,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",,,Bannerghatta Road,Bangalore,₹800,16,Pediatrician
Dr. Chaitanya Prakash,"BAMS, MD - Ayurveda Medicine",,,Vijayanagar,Bangalore,₹300,20,AYUSHAyurveda
Dr. Nagaveni.R,"MBBS, DGO, DNB - Obstetrics & Gynecology",99%,(920 patients),HRBR Layout,Bangalore,₹700,16,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist, Obstetrician"
Dr. Jhansi Lakshmi Peddi,"MS - Obstetrics & Gynaecology, MBBS",97%,(29 patients),Kundalahalli,Bangalore,₹650,12,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Ashok G N,"MBBS, MS - General Surgery",,,Rajarajeshwarinagar,Bangalore,₹650,15,General Surgeon
Dr. Shobith R Shetty,"BDS, MDS- Oral Pathology",97%,(539 patients),Koramangala,Bangalore,,17,"Dentist, Implantologist, Dental Surgeon"
Dr. Mohamed Ramees Sabu C K,BHMS,,,Vijayanagar,Bangalore,₹450,h9,AYUSHHomoeopath
Dr. Mukta Shrivastava,"MBBS, DOMS",100%,(31 patients),Millers Road,Bangalore,₹1000,22,Ophthalmologist/ Eye Surgeon
Dr. Akhila Anand,"MBBS, DGO",100%,(61 patients),Rajajinagar,Bangalore,₹500,15,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Lingaraju A.P,"MBBS, MS - Orthopaedics",99%,(86 patients),Jayanagar 3 Block,Bangalore,₹750,22,Orthopedic surgeon
Dr. JR Prithvi Raj,"MDS - Prosthodontist And Crown Bridge, BDS",,,Kundalahalli,Bangalore,₹200,t9,Prosthodontist
Ms. Sushmaa Jaiswal,M.Sc. - Home Science (Food & Nutrition),93%,(421 patients),Whitefield,Bangalore,₹2000,37,"TherapistDietitian/Nutritionist, Sports Nutritionist"
Dr. Steve Paul Manjaly,"DNB - General Medicine, MBBS",,,Bannerghatta Road,Bangalore,₹900,12,General Physician
Dr. Pavithra,"MBBS, MS - Obstetrics & Gynaecology",,,Kalyan Nagar,Bangalore,₹600,t8,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Janet Alexander Castelino,"MBBS, MD - Dermatology",92%,(8297 patients),HSR Layout,Bangalore,₹2000,30,"Dermatologist, Cosmetologist"
